PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
WASP-108 b,0.892,1.284,1590
HAT-P-46 b,0.493,1.284,1458
HAT-P-43 b,0.66,1.283,1361
WASP-14 b,7.341,1.281,1718.8
WASP-26 b,1.028,1.281,1521.3
HAT-P-13 b,0.85,1.28,1504.3
HAT-P-44 b,0.392,1.28,1126
HAT-P-42 b,0.975,1.277,1427
WASP-64 b,1.271,1.271,1689
WASP-52 b,0.46,1.27,1315
WASP-75 b,1.07,1.27,1710
HAT-P-4 b,0.68,1.27,1550.7
WASP-39 b,0.28,1.27,1021.8
WASP-36 b,2.279,1.269,1554.5
HAT-P-36 b,1.832,1.264,1669.2
CoRoT-26 b,0.52,1.26,
HATS-25 b,0.613,1.26,
WASP-25 b,0.58,1.26,1135
OGLE-TR-211 b,0.75,1.26,1581.5
Kepler-699 b,,1.259,
WASP-102 b,0.624,1.259,
HAT-P-5 b,1.06,1.252,1387.4
HATS-29 b,0.653,1.251,
HATS-32 b,0.92,1.249,
HAT-P-24 b,0.685,1.242,1495
WASP-124 b,0.6,1.24,1400
WASP-85 A b,1.265,1.24,1452
WASP-68 b,0.95,1.24,1490
WASP-61 b,2.06,1.24,1417.5
Kepler-731 b,,1.238,
WASP-110 b,0.51,1.238,1134
KOI-192 b,0.29,1.23,1100
HATS-33 b,1.192,1.23,
OGLE-TR-132 b,1.17,1.227,1812
WASP-6 b,0.503,1.224,1092.2
KOI-135 b,3.23,1.22,
WASP-131 b,0.27,1.22,
WASP-34 b,0.59,1.22,1058.7
XO-3 b,11.79,1.217,1554.5
HAT-P-1 b,0.524,1.217,1182.1
WASP-28 b,0.907,1.213,1468
HAT-P-28 b,0.626,1.212,1262.4
HATS-13 b,0.543,1.212,1244
WASP-141 b,2.69,1.21,
WASP-95 b,1.13,1.21,1570
WASP-133 b,1.16,1.21,1790
WASP-77 A b,1.76,1.21,
TrES-5 b,1.778,1.209,
WASP-53 b,2.5,1.2,
HAT-P-14 b,2.2,1.2,1445.9
OGLE-TR-56 b,1.3,1.2,1390.3
Kepler-87 b,1.02,1.2,478.1
WASP-96 b,0.48,1.2,1285
Kepler-418 b,,1.2,
HAT-P-34 b,3.328,1.197,1335.3
K2-30 b,0.624,1.196,
HATS-28 b,0.672,1.194,
KOI-183 b,0.595,1.192,1605
WASP-112 b,0.88,1.191,1395
HAT-P-16 b,4.193,1.19,1567
K2-29 b,0.73,1.19,
Kepler-468 b,,1.19,
CoRoT-4 b,0.72,1.19,975.6
HAT-P-25 b,0.567,1.19,1100.1
WASP-32 b,3.6,1.19,1427.6
XO-1 b,0.9,1.184,1168
HAT-P-55 b,0.582,1.182,1313
WASP-41 b,0.94,1.18,
KELT-6 b,0.442,1.18,
HAT-P-37 b,1.169,1.178,1166.3
Kepler-670 b,,1.176,
Kepler-706 b,,1.175,
HATS-30 b,0.706,1.175,
WASP-5 b,1.637,1.171,1584
CoRoT-16 b,0.53,1.17,1085.5
KOI-428 b,2.2,1.17,
TrES-2,1.253,1.169,
HATS-2 b,1.345,1.168,1577
CoRoT-6 b,2.96,1.166,929.2
WASP-18 b,10.43,1.165,2187.5
WASP-70 A b,0.59,1.164,1387
Qatar-1 b,1.33,1.164,1389
Kepler-785 b,,1.162,
WASP-21 b,0.276,1.162,1333
WASP-73 b,1.88,1.16,1790
WASP-45 b,1.007,1.16,1094.2
WASP-22 b,0.588,1.158,1297.5
WASP-50 b,1.47,1.15,1289.9
Kepler-422 b,0.43,1.15,976
Qatar-2 b,2.487,1.144,1179.7
WASP-47 b,1.164,1.139,
HD 189733 A b,1.138,1.138,1099.7
WASP-104 b,1.272,1.137,1516
WASP-37 b,1.696,1.136,1213.5
Kepler-14 b,8.4,1.136,
Kepler-302 c,,1.13457,
Kepler-762 b,,1.131,
HAT-48 b,0.168,1.131,
Kepler-434 b,2.86,1.13,1000
WASP-97 b,1.32,1.13,1555
SWEEPS-11,9.7,1.13,
HATS-21 b,0.332,1.123,
KOI-806.02,2.013248,1.120903,431.4
KOI-1299 b,4.87,1.12,
WASP-2 A b,0.914,1.117,1170.7
WASP-49 b,0.378,1.115,1369
WASP-65 b,1.55,1.112,1480
KOI-423 b,19.1,1.11,
HAT-P-19 b,0.292,1.109,1010
HAT-P-29 b,0.778,1.107,1149.1
Qatar-5 b,4.32,1.107,
HATS-15 b,2.17,1.105,
WASP-24 b,1.032,1.104,1514.1
Kepler-117 c,1.84,1.101,704
WASP-98 b,0.83,1.1,1180
HR 8799 d,7,1.1,1200
WASP-99 b,2.78,1.1,1480
Ross 458 C,12.5,1.1,695
TrES-1 b,0.761,1.099,
Qatar-3 b,4.31,1.096,6007
HD 17156 b,3.191,1.095,790.5
WASP-56 b,0.571,1.092,1216
Kepler-44 b,1,1.09,
CoRoT-14 b,7.6,1.09,1781.4
KOI-195 b,0.34,1.09,1300
WASP-38 b,2.71,1.09,1152.9
Kepler-723 b,,1.088,
WASP-106 b,1.925,1.085,1140
Kepler-686 b,,1.084,
HAT-P-22 b,2.147,1.08,1171.7
WASP-10 b,3.06,1.08,946.8
WASP-42 b,0.5,1.08,995
CoRoT-25 b,0.27,1.08,
KOI-830 b,1.27,1.08,1070
OGLE-TR-111 b,0.54,1.077,940
HAT-P-15 b,1.946,1.072,819.9
Kepler-548 b,,1.07,
HAT-P-31 b,2.171,1.07,1324.7
Kepler-71 b,,1.06622,1046.2
HATS-9 b,0.837,1.065,1823
K2-31 b,1.774,1.06,
Kepler-1647 b,1.52,1.06,
KOI-2939 b,1.52,1.05932,
WASP-69 b,0.26,1.057,963
Kepler-1514 b,,1.055,
OGLE-TR-113 b,1.26,1.051,
HN Peg b,22,1.05,1130
CoRoT-23 b,2.8,1.05,1508.9
Kepler-75 b,10.1,1.05,
CoRoT-9 b,0.84,1.05,376.6
WASP-11 b,0.46,1.045,943.2
WASP-157 b,0.576,1.045,
WASP-83 b,0.3,1.04,1120
HATS-14 b,1.07,1.04,1276
Kepler-41 b,0.56,1.04,
WASP-89 b,5.9,1.04,1120
Kepler-490 b,,1.039,
WASP-8 b,2.244,1.038,846.5
WASP-43 b,2.034,1.036,1317.6
Kepler-289 c,0.415,1.034,
XO-5 b,1.077,1.03,1133.5
WASP-91 b,1.34,1.03,
HAT-P-21 b,4.063,1.024,1161.5
WASP-117 b,0.2755,1.021,1024
HAT-P-27 b,0.62,1.02,1102.7
HATS-4 b,1.323,1.02,1315
CoRoT-17 b,2.45,1.02,1486.4
Kepler-487 b,,1.019,
WASP-72 b,1.41,1.01,2210
HAT-P-17 b,0.534,1.01,707.1
Kepler-90 h,,1.01,
CoRoT-3 b,21.66,1.01,1554.7
HAT-P-52 b,0.818,1.009,1218
WASP-16 b,0.855,1.008,1160
CoRoT-27 b,10.39,1.007,1500
WASP-44 b,0.869,1.002,1304
Jupiter,1,1,
HR 8799 c,7,1,1200
HR 8799 e,7,1,1200
Kepler-89 d,0.33,1,806
51 Eri b,2,1,700
Kepler-553 c,,0.999,
HATS-6 b,0.319,0.998,712.8
Kepler-486 b,,0.981,
KOI-188 b,0.25,0.978,1070
WASP-84 b,0.7,0.975,832
XO-2N b,0.597,0.973,
CoRoT-10 b,2.75,0.97,600.8
2M 0746+20 b,30,0.97,
HATS-10 b,0.526,0.969,1407
KOI-1474 b,2.5,0.964,
WASP-23 b,0.884,0.962,1024
Kepler-45 b,0.505,0.96,774
Kepler-15 b,0.66,0.96,1027.9
Kepler-77 b,0.43,0.96,1189
WASP-105 b,1.8,0.96,
Kepler-74 b,0.63,0.96,
WASP-126 b,0.28,0.96,1480
HAT-P-12 b,0.211,0.959,875.4
CoRoT-28 b,0.484,0.955,
HATS-22 b,2.74,0.953,
WASP-80 b,0.554,0.952,600
HAT-P-2 b,8.74,0.951,1343.6
KOI-3680.01,2.2,0.95,
Kepler-725 b,,0.948,
HAT-P-18 b,0.196,0.947,841
Kepler-685 b,,0.944,
HAT-P-54 b,0.76,0.944,818
POTS-1 b,2.31,0.941,
KOI-1257 b,1.45,0.94,511
WASP-107 b,0.12,0.94,
Kepler-807 b,,0.93,
WASP-129 b,1,0.93,1100
HD 80606 b,3.94,0.921,339.6
2M 2140+16 b,20,0.92,
WASP-57 b,0.672,0.916,1251
Kepler-816 b,,0.914,
