,PlanetIdentifier,SystemName,x,y,z,DistFromSunParsec
338,HD 11964 A c,HD 11964 A,29.164279912161707,16.35786124119909,-6.041982523870583,33.98
1773,EPIC 201912552 b,EPIC 201912552,-33.41853421905127,4.363767401916148,4.489889164787212,34.0
1830,HD 142415 b,HD 142415,-8.647678105033544,-14.632122110561557,-29.677578505217358,34.2
330,HD 65216 c,HD 65216,-7.2465556193713905,13.390599647126512,-30.73547254794909,34.3
329,HD 65216 b,HD 65216,-7.2465556193713905,13.390599647126512,-30.73547254794909,34.3
528,HD 23079 b,HD 23079,12.057158801962377,17.174160605246286,-27.76172057220999,34.8
2085,HD 51608 b,HD 51608,-4.700970301300405,19.265937148539432,-28.5965827331662,34.8
2086,HD 51608 c,HD 51608,-4.700970301300405,19.265937148539432,-28.5965827331662,34.8
20,HD 114729 A b,HD 114729 A,-28.238356559524973,-9.275181944667517,-18.481510184788657,35.0
682,HD 106515 A b,HD 106515 A,-34.84208497763515,-2.3014813573487323,-4.4466052189313165,35.2
1193,HD 20782 b,HD 20782,19.974198215004588,23.816902900308072,-17.126781422818606,35.49
1194,HD 20781 b,HD 20781,19.974198215004588,23.816902900308072,-17.126781422818606,35.49
1195,HD 20781 c,HD 20781,19.974198215004588,23.816902900308072,-17.126781422818606,35.49
974,Kepler-444 e,Kepler-444,9.0173210419272,-25.11216682970471,23.718284051421087,35.7
975,Kepler-444 f,Kepler-444,9.0173210419272,-25.11216682970471,23.718284051421087,35.7
961,BD-17 63 b,BD-17 63,34.01187263903456,4.262279144409843,-9.975745389755165,35.7
972,Kepler-444 c,Kepler-444,9.0173210419272,-25.11216682970471,23.718284051421087,35.7
973,Kepler-444 d,Kepler-444,9.0173210419272,-25.11216682970471,23.718284051421087,35.7
971,Kepler-444 b,Kepler-444,9.0173210419272,-25.11216682970471,23.718284051421087,35.7
281,HD 63454 b,HD 63454,-3.05486848599152,6.599997312597017,-35.053499311866254,35.8
885,HD 142022 A b,HD 142022 A,-1.6612711424356623,-3.1997880274105595,-35.68835152778775,35.87
1666,HD 16141 A b,HD 16141 A,27.912799329523054,22.46586088095439,-2.2295130561135026,35.9
1724,HD 7199 b,HD 7199,13.846779223047378,4.417953099851091,-32.93551875340207,36.0
605,HD 45652 b,HD 45652,-4.493831099985667,35.05965210130158,6.828343619099831,36.0
193,2MASS 0122-2439 B,2MASS 0122-2439,30.601261924099926,11.570704913037677,-15.022701370527136,36.0
2008,HD 8673 b,HD 8673,27.648065073062753,10.909444577177883,20.48849718093476,36.1
937,HD 141399 e,HD 141399,-13.539192275715296,-20.62776402489569,26.447202571433344,36.17
936,HD 141399 d,HD 141399,-13.539192275715296,-20.62776402489569,26.447202571433344,36.17
935,HD 141399 c,HD 141399,-13.539192275715296,-20.62776402489569,26.447202571433344,36.17
934,HD 141399 b,HD 141399,-13.539192275715296,-20.62776402489569,26.447202571433344,36.17
960,HD 169830 c,HD 169830,3.815306507258122,-31.280168006677307,-18.059261494582643,36.32
959,HD 169830 b,HD 169830,3.815306507258122,-31.280168006677307,-18.059261494582643,36.32
1067,HD 32963 b,HD 32963,7.346649371760482,31.777075018213594,16.139279608930412,36.39
1134,HD 73256 b,HD 73256,-19.92628907705794,24.522950124281063,-18.270684738661124,36.5
98,HD 156279 b,HD 156279,-3.3860690417912997,-16.06223865109701,32.71236808852927,36.6
454,HD 113337 b,HD 113337,-15.808747047357071,-4.368053663985299,33.054706532976866,36.9
110,HD 12661 c,HD 12661,28.727137705806854,17.357807490984182,15.947528910070782,37.16
109,HD 12661 b,HD 12661,28.727137705806854,17.357807490984182,15.947528910070782,37.16
2095,HD 195019 A b,HD 195019 A,21.322975544171026,-28.223890912734916,12.02132670252013,37.36
977,HD 168443 b,HD 168443,3.223005585876993,-36.716128303589855,-6.229169879505121,37.38
978,HD 168443 c,HD 168443,3.223005585876993,-36.716128303589855,-6.229169879505121,37.38
1948,HD 106252 b,HD 106252,-36.80271382168697,-2.1676714794309024,6.5280208115685685,37.44
919,HD 38283 b,HD 38283,1.0586075120936227,10.528399284493702,-36.18455690818407,37.7
1767,HD 47186 c,HD 47186,-5.266469147718132,33.11092745275089,-17.544126821668858,37.84
1766,HD 47186 b,HD 47186,-5.266469147718132,33.11092745275089,-17.544126821668858,37.84
2130,eta Cet c,eta Cet,35.72958273072638,11.024247158276019,-6.7158761514356895,37.99
2129,eta Cet b,eta Cet,35.72958273072638,11.024247158276019,-6.7158761514356895,37.99
252,HD 117618.02,HD 117618.,-23.716078100140685,-10.117794921825773,-27.91375763790866,38.0
1000,HD 164604 b,HD 164604,0.45386251415905765,-33.37278192695384,-18.167317778753823,38.0
1348,HD 215456 c,HD 215456,23.661831013481958,-7.9018362907949795,-28.664939147378263,38.0
1347,HD 215456 b,HD 215456,23.661831013481958,-7.9018362907949795,-28.664939147378263,38.0
251,HD 117618 b,HD 117618,-23.716078100140685,-10.117794921825773,-27.91375763790866,38.0
510,HD 137388 b,HD 137388,-3.80756345442773,-5.224659422921659,-37.44603309370677,38.0
1732,HAT-P-11 b,HAT-P-11,11.804246245112257,-22.47586431640312,28.275347810688203,38.0
681,HD 216770 b,HD 216770,32.64009285682691,-9.377402197477846,-17.049594315538847,38.0
860,mu Leo b,mu Leo,-29.060984673912937,18.024984403370137,16.684172351089536,38.05
1981,HD 126525 b,HD 126525,-18.78908652759059,-14.100825017193698,-29.995782391749646,38.1
346,Gamma Leonis b,Gamma Leonis,-32.81973029149445,15.308689638514693,13.067491157264831,38.5
915,HD 108147 b,HD 108147,-16.788034464531002,-1.8954338992122954,-34.672959624921496,38.57
1267,HD 31527 d,HD 31527,9.830711400638132,34.07784379949492,-15.23212642196056,38.6
1266,HD 31527 c,HD 31527,9.830711400638132,34.07784379949492,-15.23212642196056,38.6
1265,HD 31527 b,HD 31527,9.830711400638132,34.07784379949492,-15.23212642196056,38.6
1715,Kepler-42 b,Kepler-42,10.59331399561898,-25.936599334223054,26.69764996336201,38.7
1716,Kepler-42 c,Kepler-42,10.59331399561898,-25.936599334223054,26.69764996336201,38.7
1717,Kepler-42 d,Kepler-42,10.59331399561898,-25.936599334223054,26.69764996336201,38.7
1870,HD 7449 c,HD 7449,36.720444475161855,12.373604317847056,-3.4224075928959006,38.9
1869,HD 7449 b,HD 7449,36.720444475161855,12.373604317847056,-3.4224075928959006,38.9
892,HD 38529 A c,HD 38529 A,2.300576161648856,39.20439506127682,0.8007229257283802,39.28
891,HD 38529 A b,HD 38529 A,2.300576161648856,39.20439506127682,0.8007229257283802,39.28
803,HD 10180 i,HD 10180,17.651761348965387,8.035057921040833,-34.295964274017585,39.4
801,HD 10180 b,HD 10180,17.651761348965387,8.035057921040833,-34.295964274017585,39.4
802,HD 10180 c,HD 10180,17.651761348965387,8.035057921040833,-34.295964274017585,39.4
269,HR 8799 d,HR 8799,35.78908287302683,-8.34838245278607,14.205845892787627,39.4
805,HD 10180 e,HD 10180,17.651761348965387,8.035057921040833,-34.295964274017585,39.4
809,HD 10180 h,HD 10180,17.651761348965387,8.035057921040833,-34.295964274017585,39.4
808,HD 10180 g,HD 10180,17.651761348965387,8.035057921040833,-34.295964274017585,39.4
807,HD 10180 f,HD 10180,17.651761348965387,8.035057921040833,-34.295964274017585,39.4
806,HD 10180 j,HD 10180,17.651761348965387,8.035057921040833,-34.295964274017585,39.4
267,HR 8799 b,HR 8799,35.78908287302683,-8.34838245278607,14.205845892787627,39.4
804,HD 10180 d,HD 10180,17.651761348965387,8.035057921040833,-34.295964274017585,39.4
561,2MASS J0219-3925 B,2MASS J0219-3925,24.97948866130118,17.388411148936033,-25.0205576263896,39.4
914,HD 28185 b,HD 28185,15.377924158704904,35.55044169040961,-7.214259780871926,39.4
270,HR 8799 e,HR 8799,35.78908287302683,-8.34838245278607,14.205845892787627,39.4
268,HR 8799 c,HR 8799,35.78908287302683,-8.34838245278607,14.205845892787627,39.4
479,HD 114762 b,HD 114762,-35.77231024111554,-11.677789461979105,11.876979973674715,39.46
1513,HD 90156 b,HD 90156,-31.43587794487294,14.009877181667605,-19.58746842217341,39.6
1582,HD 89744 A b,HD 89744 A,-27.38347605984057,12.45533116019628,26.363041641092586,40.0
590,CFBDSIR2149,CFBDSIR21,33.6310263727645,-21.470077901970473,-2.8266269647298916,40.0
67,beta Ursae Minoris b,beta Ursae Minoris,-8.057234644378036,-7.42884136064199,38.614930867785446,40.14
800,HD 98649 b,HD 98649,-36.49777022940263,6.2933493465182275,-15.886992235297692,40.3
1353,HD 49674 b,HD 49674,-6.8581677295543875,30.004535792468342,26.630496940008182,40.7
1449,HD 77338 b,HD 77338,-26.13758300848549,25.865301315736243,-17.560621922947487,40.75
1941,HD 213240 A b,HD 213240 A,24.527929010651942,-10.034640694909788,-30.95560021341016,40.75
853,HD 285507 b,HD 285507,18.867361250832673,35.11999118378144,10.932603517995705,41.339
1087,HD 6434 b,HD 6434,30.68711642245758,8.896424003193166,-26.327068306781566,41.4
1092,HD 103720 b,HD 103720,-41.52676135991146,0.6004643833708662,-2.0159200086479587,41.58
898,30 Ari B b,30 Ari B,29.419589871985416,24.03868101082469,17.431854377087646,41.8
464,HD 102117 b,HD 102117,-21.769783509986233,1.4427799217325954,-35.888646004353205,42.0
1690,HD 222582 A b,HD 222582 A,41.64010305135168,-3.30459565441207,-4.379664991029943,42.0
712,HD 93385 c,HD 93385,-30.000028453284823,10.001499540469384,-27.942947227235926,42.2
711,HD 93385 b,HD 93385,-30.000028453284823,10.001499540469384,-27.942947227235926,42.2
