,PlanetIdentifier,SystemName,x,y,z,DistFromSunParsec
603,tau Boo A b,tau Boo A,-13.29822489617421,-6.721958198544724,4.685818241010824,15.62
463,HD 113538 c,HD 113538,-9.2876188983778,-2.7052384910638763,-12.580887087362397,15.87
462,HD 113538 b,HD 113538,-9.2876188983778,-2.7052384910638763,-12.580887087362397,15.87
1860,Gliese 777 A b,Gliese 777 A,7.075454596527062,-11.819494061863262,7.920202167499461,15.89
1861,Gliese 777 A c,Gliese 777 A,7.075454596527062,-11.819494061863262,7.920202167499461,15.89
1800,Gliese 676 A c,Gliese 676 A,-1.3285453729767251,-10.15405444393119,-12.937547895239785,16.5
1798,Gliese 676 A e,Gliese 676 A,-1.3285453729767251,-10.15405444393119,-12.937547895239785,16.5
1797,Gliese 676 A d,Gliese 676 A,-1.3285453729767251,-10.15405444393119,-12.937547895239785,16.5
1799,Gliese 676 A b,Gliese 676 A,-1.3285453729767251,-10.15405444393119,-12.937547895239785,16.5
114,HD 128311 c,HD 128311,-12.714424792089442,-10.295938187892782,2.8101706420416037,16.6
113,HD 128311 b,HD 128311,-12.714424792089442,-10.295938187892782,2.8101706420416037,16.6
1479,HD 7924 b,HD 7924,3.621728845298928,1.3538403940112491,16.369563108362822,16.82
1480,HD 7924 c,HD 7924,3.621728845298928,1.3538403940112491,16.369563108362822,16.82
1481,HD 7924 d,HD 7924,3.621728845298928,1.3538403940112491,16.369563108362822,16.82
214,HR 810 b,HR 810,8.235387991143185,7.065851221652728,-13.30642818899209,17.17
0,HD 143761 b,HD 143761,-7.145458642043441,-12.508292125286635,9.463865220053544,17.236
1,HD 143761 c,HD 143761,-7.145458642043441,-12.508292125286635,9.463865220053544,17.236
93,Rho Coronae Borealis b,Rho Coronae Borealis,-7.147432803357899,-12.511034046461232,9.466035675496439,17.24
1934,HD 10647 b,HD 10647,9.225843526893813,4.4244051516975915,-13.949854847664307,17.3
1700,Gliese 504 b,Gliese 504,-16.3598453815091,-5.695756929188834,2.875310782630764,17.56
1796,Gliese 3021 A b,Gliese 3021 A,3.0970090589810044,0.2192795674524378,-17.34430313849154,17.62
1990,HD 189567 b,HD 189567,3.5544087114766865,-5.8259189869655525,-16.331406757199236,17.7
285,83 Leonis B b,83 Leonis B,-17.578826325787063,2.567979579783746,0.9351181131971819,17.79
286,83 Leonis B c,83 Leonis B,-17.578826325787063,2.567979579783746,0.9351181131971819,17.79
1790,HD 154088 b,HD 154088,-3.750513398569284,-15.174027204636584,-8.516017123051192,17.8
1529,HD 154345 b,HD 154345,-3.0479940617603067,-11.914286596143041,13.225849957732022,18.06
1769,HD 27442 A b,HD 27442 A,4.033159113340221,8.313648204386459,-15.563639712489575,18.1
999,HD 87883 b,HD 87883,-13.233140075757396,6.983202189443017,10.184738136876266,18.1
1258,70 Vir b,70 Vir,-16.28669702842421,-6.61583162640971,4.310947899860901,18.1
1455,14 Her c,14 Her,-6.01065125235619,-11.593650523021763,12.532730710925943,18.1
1454,14 Her b,14 Her,-6.01065125235619,-11.593650523021763,12.532730710925943,18.1
143,Gliese 3293 c,Gliese 3293,6.396730329600029,15.179242807760083,-7.740311936442798,18.2
142,Gliese 3293 d,Gliese 3293,6.396730329600029,15.179242807760083,-7.740311936442798,18.2
141,Gliese 3293 b,Gliese 3293,6.396730329600029,15.179242807760083,-7.740311936442798,18.2
926,HD 39091 b,HD 39091,0.3019435993524138,3.018418191396426,-18.0671077288164,18.32
236,HN Peg b,HN Peg,14.772499865622992,-9.915803771116352,4.691490519321481,18.4
1903,WD 0806-661 B,WD 0806-661,-4.0572577011138735,6.5631440860794426,-17.581348061286786,19.2
1676,HD 189733 A b,HD 189733 A,8.949950902798294,-15.390442399890707,7.451353002854341,19.3
425,beta Pic b,beta Pic,0.6726300859910403,12.109830138286446,-15.01298047654992,19.3
1099,7 CMa b,7 CMa,-2.971671516024915,18.406752578105237,-6.513303918078939,19.75
1567,Gliese 328 b,Gliese 328,-13.695270153569274,14.289616668525273,0.5351923835027156,19.8
97,Gliese 3634 b,Gliese 3634,-16.341345819307758,4.487102881688018,-10.240425994212346,19.8
420,HD 217107 b,HD 217107,19.126942297673203,-5.2811636422013715,-0.8300535680122846,19.86
421,HD 217107 c,HD 217107,19.126942297673203,-5.2811636422013715,-0.8300535680122846,19.86
949,HD 192263 b,HD 192263,10.982288700045697,-16.592428274468286,-0.301096106706668,19.9
370,Gliese 221 c,Gliese 221,0.6074302790672517,19.88135322264969,-2.088737056766374,20.0
369,Gliese 221 b,Gliese 221,0.6074302790672517,19.88135322264969,-2.088737056766374,20.0
866,alf Ari b,alf Ari,15.733960146139385,9.752940658641275,8.034615524635848,20.18
1122,HD 114783 b,HD 114783,-19.366606046410826,-6.359603168359216,-0.8062368039967832,20.4
669,alf Tau b,alf Tau,7.0259982826469844,18.284236924482734,5.805766807375561,20.43
1377,HD 142 A b,HD 142 A,13.489328336029931,0.37187943771319265,-15.564694880613178,20.6
1378,HD 142 A c,HD 142 A,13.489328336029931,0.37187943771319265,-15.564694880613178,20.6
1776,HD 114613 b,HD 114613,-15.531329123572624,-5.050411574866633,-12.669651083582297,20.67
908,HD 104067 b,HD 104067,-19.501165116487154,0.07091081893894077,-7.2346064685829345,20.8
888,HD 33564 b,HD 33564,0.6377191987982503,3.867849138702316,20.610518122156073,20.98
703,HD 97658 b,HD 97658,-18.647304488865444,3.747264417873318,9.157955267529937,21.11
1219,16 Cygni B b,16 Cygni B,5.7777646988026,-12.138438573242793,16.322654811300826,21.146
169,HD 210277 b,HD 210277,18.69905881106743,-9.787763371371446,-2.794456613776793,21.29
162,HD 215152 b,HD 215152,20.18211513237656,-7.013353954949778,-2.396892798205072,21.5
163,HD 215152 c,HD 215152,20.18211513237656,-7.013353954949778,-2.396892798205072,21.5
589,HD 45184 b,HD 45184,-2.0674650676429196,19.083130115312304,-10.543705856867247,21.9
1023,HD 4308 b,HD 4308,8.858948828437098,1.74809021524319,-19.951772007882003,21.9
1333,HD 164922 b,HD 164922,0.2144220013569779,-19.656610534857272,9.720935422389772,21.93
1967,HD 134987 b,HD 134987,-13.333144893321409,-14.999886774327736,-9.490555516461882,22.2
1968,HD 134987 c,HD 134987,-13.333144893321409,-14.999886774327736,-9.490555516461882,22.2
950,HD 19994 A b,HD 19994 A,14.916182612949854,16.67794193827867,-0.4670641931660693,22.38
995,Psi-1 Draconis B b,Psi-1 Draconis B,-0.553357302115041,-7.0072672131265,21.826060155237325,22.93
1498,HIP 12961 b,HIP 12961,15.802489810247613,14.069186790499682,-9.018830237400508,23.0
237,CFBDS 1458 b,CFBDS 1458,-16.180598068048305,-15.967835210135892,4.102009856426004,23.1
1925,Gliese 3341 b,Gliese 3341,3.80149986696253,19.456325651104915,-12.051555539416508,23.2
240,HD 1461 b,HD 1461,23.09216510010969,1.8883666022259,-3.278106551787766,23.4
241,HD 1461 c,HD 1461,23.09216510010969,1.8883666022259,-3.278106551787766,23.4
968,HD 42618 b,HD 42618,-1.2229807047401033,23.3034419353893,2.7755922178469836,23.5
776,GJ 27.1 b,GJ 27.1,16.92940240812813,2.9836080750564693,-16.74793769268692,24.0
704,HIP 70849 b,HIP 70849,-13.145253756451737,-10.024574361316223,-17.398569267411986,24.0
